Date : 2025-12-22 23:49:52
Directory : c:\Users\HP\Desktop\doxa-intelligent-ticketing
Total : 116 files,  9394 codes, 174 comments, 1136 blanks, all 10704 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\docs\DOXA_Solution1_Functional_Overview.md           | Markdown           |         73 |          0 |         33 |        106 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\docs\api-contracts.md                                | Markdown           |        217 |          0 |         61 |        278 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\docs\architecture.md                                 | Markdown           |        139 |          0 |         44 |        183 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\docs\demo-scenario.md                                | Markdown           |        100 |          0 |         51 |        151 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\docs\frontend-handoff.md                             | Markdown           |        210 |          0 |         39 |        249 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\docs\instructions.md                                 | Markdown           |         96 |          0 |         34 |        130 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\Dockerfile                                  | Docker             |         11 |          2 |          8 |         21 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\README.md                                   | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\index.html                                  | HTML               |         13 |          0 |          3 |         16 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\nginx.conf                                  | Properties         |         15 |          0 |          3 |         18 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\package-lock.json                           | JSON               |      3,278 |          0 |          1 |      3,279 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\package.json                                | JSON               |         29 |          0 |          0 |         29 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\postcss.config.js                           | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\App.tsx                                 | TypeScript JSX     |        159 |         15 |         19 |        193 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\api\auth.ts                             | TypeScript         |         16 |          0 |          4 |         20 |
